id,prompt,A,B,C,D,E,answer
958,What is one of Saferworld's strengths?,Superficial analysis of conflicts,Focusing on underdeveloped perspectives,Delving into conflicts and conducting in-depth analysis,"Ignoring the impact of conflicts on women, children, and other demographics",Lack of understanding of social injustices,C
959,What was Saferworld's initial focus when it was founded?,Campaigning for nuclear disarmament,Advocating for better education systems,Addressing poverty and inequality,Promoting renewable energy,Fighting against political corruption,A
960,Who is considered the originator of queueing theory?,Agner Krarup Erlang,Albert Einstein,Isaac Newton,Marie Curie,Thomas Edison,A
961,Which field does queueing theory find applications in?,Telecommunication,Traffic engineering,Computing,Project management,All of the above,E
962,What is a queueing node?,A box with black color,A box with white color,A nearly black box,A red box,A green box,C
963,What is the purpose of a queueing node?,To process jobs,To store jobs,To transport jobs,To create jobs,To destroy jobs,A
964,Which spelling is typically used in the academic research field?,Queuing,Queueing,Quing,Quuing,Qing,B
965,What is the definition of applied science?,The branch of science that applies existing scientific knowledge to develop more practical applications.,The systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe.,"The process and product of planning, designing, and construction.",The study concerned with all technical aspects of foods.,"The art and science of managing forests, tree plantations, and related natural resources.",A
966,What is the definition of actuarial science?,The branch of science that applies existing scientific knowledge to develop more practical applications.,The systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe.,"The process and product of planning, designing, and construction.","The application of mathematical and statistical methods to assess risk in the insurance, finance, and other industries.","The art and science of managing forests, tree plantations, and related natural resources.",D
967,What is the definition of agriculture?,The branch of science that applies existing scientific knowledge to develop more practical applications.,The systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe.,"The process and product of planning, designing, and construction.","The science and technology of producing and using plants for food, fuel, feed, fiber, and reclamation.","The art and science of managing forests, tree plantations, and related natural resources.",D
