id,prompt,A,B,C,D,E,answer
2750,What is a nonlinear complementarity problem (NCP) with respect to a mapping _?,A problem of finding a vector x such that x _ 0 and f(x) _ 0,A problem of finding a vector x such that x < 0 and f(x) < 0,A problem of finding a vector x such that x > 0 and f(x) > 0,A problem of finding a vector x such that x _ 0 and f(x) _ 0,A problem of finding a vector x such that x > 0 and f(x) < 0,A
2751,What is the condition for a solution to the nonlinear complementarity problem (NCP)?,x _ 0 and f(x) _ 0,x < 0 and f(x) < 0,x > 0 and f(x) > 0,x _ 0 and f(x) _ 0,x > 0 and f(x) < 0,A
2752,What is the mathematical relationship between x and f(x) in the nonlinear complementarity problem (NCP)?,x _ 0 and f(x) _ 0,x < 0 and f(x) < 0,x > 0 and f(x) > 0,x _ 0 and f(x) _ 0,x > 0 and f(x) < 0,A
2753,What is the smoothness condition for the mapping _(x) in the nonlinear complementarity problem (NCP)?,_(x) is continuous,_(x) is discontinuous,_(x) is differentiable,There is no smoothness condition for _(x),None of the above,C
2754,Who discussed the case of a discontinuous mapping in the nonlinear complementarity problem (NCP)?,Stephen C. Billups,Richard W. Cottle,Jong-Shi Pang,Richard E. Stone,Habetler and Kostreva,E
2755,What is a mixture in chemistry?,A material made up of two or more chemical substances that are chemically bonded,A physical combination of two or more substances in which the identities are retained,A chemical compound formed by blending or mixing elements and compounds with chemical bonding,A substance that undergoes chemical changes when blended or mixed with other substances,A material made up of two or more substances that cannot be separated by mechanical means,B
2756,Which of the following methods can be used to separate mixtures?,Chemical reactions,Electrolysis,Centrifugation,Enthalpy of mixing,Chemical bonding,C
2757,What happens to the properties of substances in a mixture?,They stay the same,They change completely,They become chemically bonded,They lose their chemical properties,They become physically mixed,A
2758,How can mixtures be separated?,By using chemical methods,By using mechanical means,By changing the enthalpy,By creating chemical bonds,By undergoing physical changes,B
2759,What kind of mixture poses difficulties in separation processes?,Homogeneous mixture,Heterogeneous mixture,Azeotrope mixture,Compound mixture,Elemental mixture,C
2760,What is human cloning?,The creation of genetically identical twins,The creation of genetically identical copies of a human,The artificial conception and delivery of identical twins,The reproduction of human cells and tissue,The natural conception and delivery of identical twins,B
2761,What are the two commonly discussed types of human cloning?,Artificial cloning and natural cloning,Therapeutic cloning and reproductive cloning,Genetic cloning and tissue cloning,Somatic-cell nuclear transfer and pluripotent stem cell induction,Medical cloning and research cloning,B
2762,What is therapeutic cloning?,The cloning of human cells for use in medicine and transplants,The cloning of entire cloned humans,The cloning of genetically identical twins,The cloning of specific cells or tissues,The cloning of pluripotent stem cells,A
2763,What is reproductive cloning?,The cloning of human cells for use in medicine and transplants,The cloning of genetically identical twins,The cloning of specific cells or tissues,The cloning of pluripotent stem cells,The creation of an entire cloned human,E
2764,When did scientists and policymakers start taking the prospect of human cloning seriously?,In the 20th century,In 1969,In 2023,In the 21st century,In the 19th century,B
2765,What is nuclear magnetic resonance (NMR)?,A physical phenomenon in which electrons in a strong constant magnetic field are perturbed by a weak oscillating magnetic field,A physical phenomenon in which nuclei in a strong constant magnetic field are perturbed by a weak oscillating magnetic field,A physical phenomenon in which protons in a strong constant magnetic field are perturbed by a weak oscillating magnetic field,A physical phenomenon in which neutrons in a strong constant magnetic field are perturbed by a weak oscillating magnetic field,A physical phenomenon in which atoms in a strong constant magnetic field are perturbed by a weak oscillating magnetic field,B
2766,What determines the frequency characteristic of the electromagnetic signal produced in nuclear magnetic resonance (NMR)?,The strength of the static magnetic field,The chemical environment,The magnetic properties of the isotope involved,All of the above,None of the above,D
2767,What is the frequency range of the electromagnetic signal produced in nuclear magnetic resonance (NMR)?,AM radio broadcasts (535_1605 kHz),FM radio broadcasts (88_108 MHz),VHF and UHF television broadcasts (60_1000 MHz),Cellular phone signals (800_1900 MHz),Wi-Fi signals (2.4_5 GHz),C
